Planet name,Rp (Rearth),Rp err1 (Rearth),Rp err2 (Rearth),Mp (Mearth),Mp err1 (Mearth),Mp err2 (Mearth),P (days),a (AU),a err1 (AU),a err2 (AU),Kmag,a/Rs,a/Rs err1,a/Rs err2,Rp/Rs,Rp/Rs err1,Rp/Rs err2,stellar Teff (K),Rs (Rsun),Rs err1 (Rsun),Rs err2 (Rsun),Reference,Reference publication date,Archive release date,hasMass,noRadiusUncertainty,noMassUncertainty,noSemimajorAxisUncertainty,noStellarRadiusUncertainty,noARsUncertainty,noRpRsUncertainty,has_all_params_except_mass,Mass reference,Mass reference publication date,Mass archive release date,Non-mass reference,Non-mass reference publication date,Non-mass archive release date,Mdwarf?,Ls (Lsun),I (Iearth),IXUV (Iearth),vesc (km/s)
K2-3 c,1.72,0.23,-0.22,2.14,1.08,-1.04,24.646582,0.1414,0.0047,-0.0047,8.561,50.675911353025725,5.340200911525189,-5.340200911525189,0.02810832111798552,0.005073039251870562,-0.004953175342805133,3896.0,0.5609999999794769,0.068,-0.068,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,2025-06-01,2025-09-17,True,False,False,False,False,False,False,True,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,2025-06-01,2025-09-17,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2023-04-01,2023-04-17,True,0.06496660342351161,3.716790830135489,19.166994755293462,12.477185155815011
GJ 3929 b,1.09,0.04,-0.04,1.75,0.44,-0.45,2.616235,0.0252,0.0005,-0.0005,7.869,16.8,0.5,-0.5,0.0156,0.0003,-0.0003,3384.0,0.6405768216982773,0.01,-0.01,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2022-07-01,2022-08-01,True,False,False,False,False,False,False,True,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2022-07-01,2022-08-01,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2022-07-01,2022-08-01,True,0.048211706545063404,19.24856321614781,118.71533299822177,14.173585635461244
Gliese 12 b,0.93,0.06,-0.06,0.95,0.29,-0.3,12.761418,,,,7.807,55.2,2.5,-2.7,0.0323,0.0015,-0.0014,3328.0,0.2639670670377654,0.012,-0.012,<a refstr=TURNER_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.545f1703T/abstract target=ref>Turner et al. 2026</a>,2026-01-01,2026-03-05,True,False,False,True,False,False,False,True,<a refstr=TURNER_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.545f1703T/abstract target=ref>Turner et al. 2026</a>,2026-01-01,2026-03-05,<a refstr=TURNER_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.545f1703T/abstract target=ref>Turner et al. 2026</a>,2026-01-01,2026-03-05,True,0.007658106658710036,1.6678253812197632,31.022567078040122,11.305617422235937
Kepler-138 b,0.64,0.02,-0.02,0.07,0.02,-0.02,10.3134,0.0753,0.0006,-0.0006,9.506,30.3,0.8,-0.8,0.010967193668986656,0.0004470175486638288,-0.00043414118976676543,3841.0,0.534999999980428,0.013,-0.014,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,2022-12-01,2023-01-04,True,False,False,False,False,False,False,True,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,2022-12-01,2023-01-04,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,2022-12-01,2023-01-04,True,0.055817893021565354,9.821717429799298,55.47832903207891,3.699414459112678
Kepler-138 d,1.51,0.04,-0.04,2.1,0.6,-0.7,23.0923,0.1288,0.001,-0.001,9.506,51.8,1.4,-1.4,0.025875722562765394,0.0009635014129768193,-0.0009301478972974466,3841.0,0.534999999980428,0.013,-0.014,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,2022-12-01,2023-01-04,True,False,False,False,False,False,False,True,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,2022-12-01,2023-01-04,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,2022-12-01,2023-01-04,True,0.055817893021565354,3.360571754716103,18.98231209323852,13.191528812323506
L 98-59 b,0.884,0.025,-0.025,0.32,0.12,-0.12,2.25311419,0.02234,0.00049,-0.00052,7.101,15.287995,1e-06,-1e-06,0.025804,4.1e-05,-4.1e-05,3415.0,0.3140758563122965,0.009,-0.009,<a refstr=SCHWARZ_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AN....34770059S/abstract target=ref>Schwarz et al. 2026</a>,2026-02-01,2026-03-12,True,False,False,False,False,False,False,True,<a refstr=SCHWARZ_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AN....34770059S/abstract target=ref>Schwarz et al. 2026</a>,2026-02-01,2026-03-12,<a refstr=SCHWARZ_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AN....34770059S/abstract target=ref>Schwarz et al. 2026</a>,2026-02-01,2026-03-12,True,0.01202044604588537,24.107780675351307,342.14081194020935,6.730120083831277
LHS 1815 b,1.088,0.064,-0.064,1.58,0.64,-0.6,3.814334,0.0404,0.0094,-0.0094,7.993,17.403,2.816,-2.816,0.01990950627134404,0.0016711953106240394,-0.0016711953106240394,3643.0,0.5009999999816719,0.03,-0.03,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,2022-09-01,2023-07-10,True,False,False,False,False,False,False,True,<a refstr=LUQUE__AMP__PALL_EACUTE__2022 href=https://ui.adsabs.harvard.edu/abs/2022Sci...377.1211L/abstract target=ref>Luque &amp; Pall&eacute; 2022</a>,2022-09-01,2023-07-10,<a refstr=GAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..160G/abstract target=ref>Gan et al. 2020</a>,2020-04-01,2020-03-19,True,0.03960962976108572,24.092613204343447,167.1873594086386,13.479942896190195
TOI-776 b,1.798,0.078,-0.077,5.0,1.6,-1.6,8.24662,0.0653,0.0014,-0.0016,7.615,25.67020066780029,0.9692099054725648,-1.0159182910888673,0.0301350337237441,0.0016081601388869301,-0.0015945652398755743,3725.0,0.546999999979989,0.017,-0.017,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,2024-04-01,2024-06-10,True,False,False,False,False,False,False,True,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,2024-04-01,2024-06-10,<a refstr=FRIDLUND_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A..12F/abstract target=ref>Fridlund et al. 2024</a>,2024-04-01,2024-06-10,True,0.051614105750002325,12.10436593828424,71.66069245063233,18.65366251250878
TOI-260 b,1.71,0.08,-0.08,4.23,1.6,-1.6,13.475853,0.0943,0.0016,-0.0016,6.549,33.406148731025766,0.9565149486101572,-0.9565149486101572,0.0258,0.0011,-0.0001,4026.0,0.6076391186837082,0.014,-0.014,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,2024-06-01,2024-08-30,True,False,False,False,False,False,False,True,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,2024-06-01,2024-08-30,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,2024-06-01,2024-08-30,True,0.08691108643343677,9.75298879364894,42.23695664745999,17.593250448690892
TOI-1238 b,1.21,0.11,-0.1,3.76,1.15,-1.07,0.764597,0.0139,0.0008,-0.0008,9.184,5.19,0.16,-0.17,0.019,0.001,-0.001,4089.0,0.5838497385985844,0.02,-0.02,<a refstr=GONZALEZ_ALVAREZ_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.138G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2022</a>,2022-02-01,2025-07-29,True,False,False,False,False,False,False,True,<a refstr=GONZALEZ_ALVAREZ_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.138G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2022</a>,2022-02-01,2025-07-29,<a refstr=GONZALEZ_ALVAREZ_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...658A.138G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2022</a>,2022-02-01,2025-07-29,True,0.08538061303775994,429.96112466423347,1881.974042202327,19.718559895209154
