Planet name,Rp (Rearth),Rp err1 (Rearth),Rp err2 (Rearth),Mp (Mearth),Mp err1 (Mearth),Mp err2 (Mearth),P (days),a (AU),a err1 (AU),a err2 (AU),Kmag,a/Rs,a/Rs err1,a/Rs err2,Rp/Rs,Rp/Rs err1,Rp/Rs err2,stellar Teff (K),Rs (Rsun),Rs err1 (Rsun),Rs err2 (Rsun),Reference,Reference publication date,Archive release date,hasMass,noRadiusUncertainty,noMassUncertainty,noSemimajorAxisUncertainty,noStellarRadiusUncertainty,noARsUncertainty,noRpRsUncertainty,has_all_params_except_mass,Mass reference,Mass reference publication date,Mass archive release date,Non-mass reference,Non-mass reference publication date,Non-mass archive release date,Mdwarf?,Ls (Lsun),I (Iearth),IXUV (Iearth),vesc (km/s)
K2-151 b,1.49,0.08,-0.08,3.44612897161488,,,3.835476,0.0373,0.0002,-0.0002,10.117,17.36,2.18,-4.6,0.0303,0.0019,-0.0013,3695.0,0.45083015846291696,0.01,-0.01,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,2018-12-01,2018-10-26,False,False,True,False,False,False,False,True,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,2018-12-01,2018-10-26,True,0.03394472843193357,25.624405182651014,195.0699577082171,17.011655758049564
EPIC 228836835 b,1.1,0.3,-0.2,1.2796938632429182,,,0.728113,,,,12.02,6.4,1.0,-2.0,0.0299,0.003,-0.0018,3782.0,0.3372801773600822,0.07,-0.07,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,2021-08-01,2021-10-25,False,False,True,True,False,False,False,True,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,2021-08-01,2021-10-25,True,0.020852415956796114,206.9291213892177,2110.2202489598853,12.065092550946469
K2-343 b,1.65,0.16,-0.08,4.0132459511629355,,,2.787174,,,,11.855,13.47,1.69,-4.14,0.0329,0.003,-0.0011,3804.0,0.45978771898479287,0.01,-0.01,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,2021-08-01,2021-08-23,False,False,True,True,False,False,False,True,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,2021-08-01,2021-08-23,True,0.03966116010855252,47.81039208752484,331.51490355116056,17.445357458598036
K2-384 d,1.392,0.118,-0.075,2.7113135909156205,,,6.679582,,,,11.294,27.93,2.83,-5.65,0.0367,0.003,-0.002,3623.0,0.34773026519367123,0.011,-0.01,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03-01,2022-03-16,False,False,True,True,False,False,False,True,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03-01,2022-03-16,True,0.018665815379442546,9.15012292301195,99.72378388011991,15.611484943394181
K2-384 c,1.191,0.053,-0.075,1.6455686017514588,,,4.194766,,,,11.294,24.63,3.74,-5.04,0.0314,0.003,-0.002,3623.0,0.3477374252447062,0.011,-0.01,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03-01,2022-03-16,False,False,True,True,False,False,False,True,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03-01,2022-03-16,True,0.018666584076217407,11.766301597191799,128.23337293348914,13.148495801005144
K2-384 e,1.345,0.139,-0.082,2.4196032147284474,,,9.715043,,,,11.294,38.39,5.44,-11.22,0.0354,0.004,-0.002,3623.0,0.3483279653986745,0.011,-0.01,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03-01,2022-03-16,False,False,True,True,False,False,False,True,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03-01,2022-03-16,True,0.0187300384344328,4.843201917954018,52.675585849680346,15.003234277994165
K2-3 d,1.52,0.21,-0.2,2.8,,,44.556456,0.2097,0.007,-0.007,8.561,75.1537384068564,7.9230336498749265,-7.9230336498749265,0.02483991168566162,0.004565409683833725,-0.004443873232774435,3896.0,0.5609999999794769,0.068,-0.068,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,2025-06-01,2025-09-17,True,False,True,False,False,False,False,True,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,2025-06-01,2025-09-17,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2023-04-01,2023-04-17,True,0.06496660342351161,1.689935304769144,8.714771049441781,15.182076601761668
K2-5 b,1.5,0.17,-0.17,3.209821040845127,,,5.73597,0.0504,0.0014,-0.0014,11.595,23.45805334587792,2.0365110693921467,-2.0365110693921467,0.0297,0.0022,-0.0022,4021.0,0.46302466956227994,0.038,-0.038,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09-01,2016-07-18,False,False,True,False,False,False,False,True,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09-01,2016-07-18,True,0.05021496908833307,19.681029710281503,118.45349988928787,16.363218775103853
K2-5 c,1.64,0.2,-0.2,3.8538030924965314,,,10.9324,0.0775,0.0022,-0.0022,11.595,36.07141139495117,3.138641430333532,-3.138641430333532,0.0324,0.0029,-0.0029,4021.0,0.46405361327241834,0.038,-0.038,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09-01,2016-07-18,False,False,True,False,False,False,False,True,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2016-09-01,2016-07-18,True,0.05043839470388166,8.323490435607688,49.963025752101274,17.14734133761116
K2-129 b,1.04,0.1,-0.09,1.0185298710924302,,,8.239493,0.057,0.003,-0.004,8.852,34.37,4.51,-4.7,0.026595,0.001226,-0.000866,3459.09,0.3585111485477146,0.030968,-0.029677,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,2017-11-01,2017-10-05,False,False,True,False,False,False,False,True,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,2017-11-01,2017-10-05,True,0.01648699189049165,5.020926300702731,58.95206088771099,11.069912094282119
K2-133 b,1.34,0.077,-0.076,2.458019400283863,,,3.07133,0.03194,0.00025,-0.00026,10.279,15.094784729928115,0.7393589175759012,-0.7401288326566773,0.027,0.0008,-0.0008,3655.0,0.45499890862320047,0.022,-0.022,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,2019-08-01,2019-05-23,False,False,True,False,False,False,False,True,,,,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,2019-08-01,2019-05-23,True,0.03310235420007519,32.44823967574202,250.77013420566678,15.150055039444899
K2-133 c,1.603,0.09,-0.088,4.133916741123448,,,4.86784,0.04341,0.00034,-0.00035,10.279,20.515485445403236,1.004887507301285,-1.00565402125769,0.0323,0.0009,-0.0009,3655.0,0.4549883961952021,0.022,-0.022,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,2019-08-01,2019-05-23,False,False,True,False,False,False,False,True,,,,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>,2019-08-01,2019-05-23,True,0.03310082460477937,17.56634439980376,135.76196188868872,17.963380045394025
